date,strike,option_type,expiry,close,implied_volatility,underlying_close,open_interest,volume
2025-12-04,26500.0,CE,2026-01-27,327.85,10.614865850121529,26033.75,476060,5044
2025-12-04,26500.0,PE,2026-01-27,471.3,8.848141485083575,26033.75,303290,2522
2025-12-04,26550.0,CE,2026-01-27,309.75,10.663952582443551,26033.75,9425,52
2025-12-04,26550.0,PE,2026-01-27,513.85,9.166564069674186,26033.75,13390,6
2025-12-04,26600.0,CE,2026-01-27,282.7,10.45881896661259,26033.75,103480,546
2025-12-04,26600.0,PE,2026-01-27,523.9,8.608996473086545,26033.75,33020,93
2025-12-04,26650.0,CE,2026-01-27,251.5,10.114946212460826,26033.75,3640,9
2025-12-04,26650.0,PE,2026-01-27,552.9,8.513053443240539,26033.75,4615,3
2025-12-04,26700.0,CE,2026-01-27,245.65,10.417443381052118,26033.75,186225,961
2025-12-04,26700.0,PE,2026-01-27,581.65,8.376626805106843,26033.75,28145,178
2025-12-04,26750.0,CE,2026-01-27,217.0,10.083157908710904,26033.75,6500,41
2025-12-04,26750.0,PE,2026-01-27,615.4,8.347062029362547,26033.75,1885,3
2025-12-04,26800.0,CE,2026-01-27,208.05,10.262914530303252,26033.75,93925,838
2025-12-04,26800.0,PE,2026-01-27,646.0,8.19211988556114,26033.75,14820,44
2025-12-04,26850.0,CE,2026-01-27,186.95,10.078640836693825,26033.75,10790,65
2025-12-04,26850.0,PE,2026-01-27,586.85,4.676459243247229,26033.75,260,0
2025-12-04,26900.0,CE,2026-01-27,176.85,10.18546132017826,26033.75,52065,556
2025-12-04,26900.0,PE,2026-01-27,711.6,7.892231467236862,26033.75,7150,38
2025-12-04,26950.0,CE,2026-01-27,162.9,10.15780948562018,26033.75,5590,110
2025-12-04,26950.0,PE,2026-01-27,742.0,7.585226646747454,26033.75,585,2
2025-12-04,27000.0,CE,2026-01-27,150.3,10.147067872595974,26033.75,1348035,9797
2025-12-04,27000.0,PE,2026-01-27,781.9,7.565030654122351,26033.75,194675,928
2025-12-04,27050.0,CE,2026-01-27,136.35,10.068207695957266,26033.75,6175,96
2025-12-04,27050.0,PE,2026-01-27,848.3,8.518938123077897,26033.75,130,2
2025-12-04,27100.0,CE,2026-01-27,123.8,10.006783623213948,26033.75,85995,388
2025-12-04,27100.0,PE,2026-01-27,879.0,8.131966261153819,26033.75,3575,13
2025-12-04,27150.0,CE,2026-01-27,112.25,9.951606073081473,26033.75,6435,53
2025-12-04,27150.0,PE,2026-01-27,919.85,8.08716321734037,26033.75,65,0
2025-12-04,27200.0,CE,2026-01-27,102.45,9.931955759462582,26033.75,186225,1539
2025-12-04,27200.0,PE,2026-01-27,934.85,6.676595844903079,26033.75,4355,5
2025-12-04,27250.0,CE,2026-01-27,92.1,9.865240599470917,26033.75,16250,153
2025-12-04,27250.0,PE,2026-01-27,847.55,,26033.75,65,0
2025-12-04,27300.0,CE,2026-01-27,84.5,9.87906053429045,26033.75,225680,1448
2025-12-04,27300.0,PE,2026-01-27,1015.05,5.713968726538328,26033.75,3055,2
2025-12-04,27350.0,CE,2026-01-27,76.65,9.859537242687072,26033.75,19305,69
2025-12-04,27350.0,PE,2026-01-27,1057.45,4.847173401719981,26033.75,715,2
2025-12-04,27400.0,CE,2026-01-27,367.95,19.665840911083908,26033.75,0,0
2025-12-04,27400.0,PE,2026-01-27,1104.85,4.286363009173689,26033.75,65,0
2025-12-04,27450.0,CE,2026-01-27,354.2,19.661479899881375,26033.75,0,0
2025-12-04,27450.0,PE,2026-01-27,1046.7,,26033.75,195,0
2025-12-04,27500.0,CE,2026-01-27,58.45,9.89808298354122,26033.75,755235,6788
2025-12-04,27500.0,PE,2026-01-27,1189.65,,26033.75,52910,224
2025-12-04,27550.0,CE,2026-01-27,327.85,19.651580844995504,26033.75,0,0
2025-12-04,27550.0,PE,2026-01-27,1306.9,9.964997886967113,26033.75,130,0
2025-12-04,27600.0,CE,2026-01-27,47.55,9.87091586573884,26033.75,21710,469
2025-12-04,27600.0,PE,2026-01-27,1125.75,,26033.75,130,0
2025-12-04,27650.0,CE,2026-01-27,304.3,19.680023543746675,26033.75,0,0
2025-12-04,27650.0,PE,2026-01-27,1308.7,,26033.75,130,0
2025-12-04,27700.0,CE,2026-01-27,39.45,9.911295031247963,26033.75,87815,704
2025-12-04,27700.0,PE,2026-01-27,1338.7,,26033.75,195,0
2025-12-04,27750.0,CE,2026-01-27,36.7,9.985759280659789,26033.75,6370,34
2025-12-04,27750.0,PE,2026-01-27,1338.75,,26033.75,65,0
2025-12-04,27800.0,CE,2026-01-27,32.6,9.951178978153088,26033.75,172965,885
2025-12-04,27800.0,PE,2026-01-27,1434.1,,26033.75,10140,81
